Name,Timezone,Country,Latitude,Longitude,URL,,,,Comments
Daxi Old Street,8,Taiwan,24.8846701,121.2887297,https://www.youtube.com/embed/z_mlibCfgFI,,,,
Koh Samui live,7,Thailand,9.444151,99.960648,https://www.youtube.com/embed/EM1JZxyNe7g,,,,
"Live camera Karaganda, Kazakhstan",6,Kazakhstan,49.81504374,73.10874458,https://www.youtube.com/embed/1sjdrF7PmgQ,,,,
Jomsom Nepal,5.45,Nepal,28.7838097,83.7304953,https://www.youtube.com/embed/WgjLxP2sFLk,,,,
Kathmandu Dharanara,5.45,Nepal,27.700769,85.30014,https://www.youtube.com/embed/ZIabjJhOBr8,,,,
Shymbulak,5,Kazakhstan,42.69575,70.70751,https://www.youtube.com/embed/lw1qn9YlAew,,,,
Maldives Watersports,5,Maldives,5.45995,73.439358,https://www.skylinewebcams.com/de/webcam/maldives/lhaviyani-atoll/kurendhoo/kuredu-island.html,,,,
Paktron Live,5,Pakistan,33.626057,73.071442,https://www.youtube.com/embed/HKO-pdR6fSg,,,,
Solikamsk,5,Russia,59.672033,56.755767,https://www.youtube.com/embed/TiEX7_ItkGY,,,,
Beach Cam Maritius,4,Maritius,-20.5123612,57.473251,https://www.youtube.com/embed/Nqm28breGxs,,,,
Saint Petersburg,4,Russia,59.962291,30.188326,https://www.youtube.com/embed/wCcMcaiRbhM,,,,
Nevsky Prospect,3,Russia,55.7823547,49.1242266,https://www.youtube.com/embed/7ni8Q_xdEO0,,,,
Madina,3,Saudi Arabia,24.470901,39.612236,https://www.youtube.com/embed/gUC3TjCrwRw,,,,
Kenya River Wildlife,3,Kenya,0.2918,36.8809,https://www.youtube.com/embed/bGpNSsnSlfo,,,,
Dracula's Castle,3,Romania,45.514534,25.367582,https://www.youtube.com/embed/8hgQsI1CfsY,,,,
Moara Vlasiei,3,Romania,44.639707,26.22136,https://www.youtube.com/embed/fK6hrMr7-k4,,,,
Wine bar in Transylvania,3,Romania,46.766666,23.583332,https://www.youtube.com/embed/G05wmWFDtSo,,,,
Black Storks in Estonia,3,Estonia,58.714566,23.815901,https://www.youtube.com/embed/euyp7iEHJBA,,,,
Gostiny Dvor,3,Russia,59.939095,30.315868,https://www.youtube.com/embed/WInT7NRq2Ss,,,,
Zero point Levi,3,Finland,67.8041003,24.80830559,https://www.youtube.com/embed/LwihxyJ4V20,,,,
Santa Claus Village,2,Finland,66.54401398,25.84724617,https://www.youtube.com/embed/Cp4RRAEgpeU,,,,
Table Mountain,2,South Africa,-33.962864,18.409834,https://www.youtube.com/embed/88BRDOCtRD0,,,,Not sync with the actual time
Cape Sands beachfront,2,South Africa,-34.10531235,18.8181324,https://www.youtube.com/embed/5elyd-AhuKE,,,,
Riomaggiore - Cinque Terre,1,Italy,44.26915,9.393967,https://www.youtube.com/embed/A7oGJdUmVkg,,,,
Venice Waterfront,1,Italy,45.433129,12.339837,https://www.youtube.com/embed/eE6VVJ3hvv8,,,,Facing south-west
Eger,1,Hungary,47.9027,20.3733,https://www.youtube.com/embed/IELAhyaUKVk,,,,
Stary Sacz,1,Poland,49.5640268,20.6366235,https://www.youtube.com/embed/J_RR-9PDgyE,,,,
Prague Tram,1,Prague,50.0874654,14.4212535,https://www.mall.tv/embed/vlaky-a-tramvaje/mazacka-jizda-prahou?autoplay=true&c=1,,,,
Geirangerfjord,1,Norway,62.097808,7.200396,https://www.youtube.com/embed/VW3J6pwYDk8,,,,Facing west
North Cape Norway,1,Norway,71.164932,25.786972,https://www.youtube.com/embed/c4kpeZHcke8,,,,
Hellesylt Sentrum,1,Norway,62.085807,6.869827,https://www.youtube.com/embed/ndhYKVzCIs8,,,,Facing North-East
Zandvoort (Beach Netherlands),1,Netherlands,52.372717,4.523929,https://www.youtube.com/embed/q0-DDh1zdY4,,,,Facing West
Port of Rotterdam,1,Netherlands,51.970228,3.978363,https://www.youtube.com/embed/qYy_7AJ4DKo,,,,Moving
Rotterdam city Brienenoord construction site,1,Netherlans,51.897958,4.534606,https://www.youtube.com/embed/Jef3eWkF_AU,,,,With link to someone who installs webcams www.Martensmultimedia.nl
Cote D'Azur beach view,1,France,43.246114,6.689462,https://www.youtube.com/embed/UbLlgiyEnpo,,,,Estimation of location
La Palma Volcano,1,Canary Islands,28.655199,-17.865669,https://www.youtube.com/embed/XlPh7yYx1kI,,,,
Cape Coral Lock,0.5,USA (Miami),26.543479,-82.00943,https://www.youtube.com/embed/U8KoHbmTdnU,,,,Facing east
Einstök TV 178,0,Iceland,64.14721,-21.9424,https://www.youtube.com/embed/P06Ogn-bax8,,,,
Live from the Volcano,0,Iceland,63.884568,-22.348318,https://www.youtube.com/embed/J9k_P5vpgHA,,,,
Funchal Marina Madeira,0,Portugal,32.6460658,-16.9103734,https://www.youtube.com/embed/9OjGDm7dLkU,,,,
Sunseterrace Madeira,0,Portugal,32.637025,-16.947988,https://www.youtube.com/embed/0GJNnfB6A5k,,,,Facing south-west
Ponta Delgada,0,Portugal,37.7394344,-25.6683618,https://www.youtube.com/embed/oUXTrtZudSE,,,,Facing north
Teresitas Tenerife,0,Tenerife (Spain),28.508987,-16.185867,https://www.youtube.com/embed/f9dVWHKRP8o,,,,
Southampton shipping container,0,UK,50.909698,-1.404351,https://www.youtube.com/embed/_2SbP8qKgEI,,,,
Oulton Broad,0,UK,52.630886,1.297355,https://www.youtube.com/embed/5olLGCa8Dsk,,,,
Portsmouth Harbour LIVE from atop HMS Warrior,0,UK,50.805832,-1.087222,https://www.youtube.com/embed/N6qPQ4fs84g,,,,
Rekjavic,-1,Iceland,64.128288,-21.827774,https://www.youtube.com/embed/C9OGOt2cn4A,,,,
St Johns Newfoundland,-2.5,Canada,47.560539,-52.71283,https://www.youtube.com/embed/R6C4_Iur0kc,,,,
Nuuk airport,-3,Greenland,64.190371,-51.676604,https://www.youtube.com/embed/Gzj8WhyH2Sg,,,,Facing South
GRU Airport Sao Paulo,-3,Brazil,-23.437795,-46.4813205,https://www.youtube.com/embed/3V422OqKA7E,,,,
Teatro Amazonas Manaus,-3,Brazil,-3.130555,-60.023171,https://www.youtube.com/embed/nKK6J66RYaw,,,,
Santuário Nacional,-3,Brazil,-22.856028,-45.233752,https://www.youtube.com/embed/6FKqU5pe2dc,,,,
Four Seasons Hotel Buenos Aires,-3,Argentina,-34.5905715,-58.3825741,https://www.youtube.com/embed/if91GyWP3zQ,,,,facing south
Pinamar Beach,-3,Argentina,-37.113218,-56.851011,https://www.youtube.com/embed/PTuyZInyl3M,,,,Facing east
Downtown Newfoundland,-3.5,Canada,47.565603,-52.712118,https://www.youtube.com/embed/R6C4_Iur0kc,,,,Facing east
Soggy Dollar Bar,-4,British Virgin Islands,18.443029,-64.762867,https://www.youtube.com/embed/LXWVYoBluT4,,,,
Boston Science Museum,-4,USA (Massachusetts),42.36746216,-71.07039642,https://www.youtube.com/embed/HsJGVcFlc8o,,,,
Panorámica de Santa Fé en la Ciudad de México,-5,Mexico,19.4272125,-99.1936196,https://www.youtube.com/embed/uGr-2jAZ8m4,,,,Facing east
Lights over Lapland,-5,Canada,58.76841,-94.164963,https://www.youtube.com/embed/CwriDd8STdI,,,,
Miami port,-5,USA (Miami),25.7821,-80.185377,https://www.youtube.com/embed/lQHTAXC4tUk,,,,facing east
Vermont's mad river Valley,-5,USA (New Hamshire),44.189268,-72.823137,https://www.youtube.com/embed/GTpd5LSRO-0,,,,
Loon Mountain resort,-5,USA (New Hampshire),44.0349998,-71.61966419,https://www.youtube.com/embed/vEL7ZwOK65Y,,,,
Port Huron,-5,USA (Michigan),42.9815877,-82.440466,https://www.youtube.com/embed/uaUBq5UEpvo,,,,
SpaceX Laund Facility Cam,-6,USA (Texas),25.996761,-97.157183,https://www.youtube.com/embed/5HpgJJ1FwTc,,,,
Duluth Harbor Cam,-6,USA (Minnesota),46.77971,-92.092341,https://www.youtube.com/embed/9k_sg8rhsgk,,,,facing east
Togwotee Mountain Lodge,-6,USA (Wyoming),43.818787,-110.199907,https://www.youtube.com/embed/DyvzXyJ_fVg,,,,
Flying Saddle Resort,-6,USA (Wyoming),43.173188,-111.008403,https://www.youtube.com/embed/OcXhy4vbedE,,,,"Facing east, beautiful view! Don't know if you can embed this one"
Blue Water Gril,-6,Belize,17.902255,-87.975294,https://www.youtube.com/embed/Xz8Ajh8v-GE,,,,facing east
Volcan de Fuego,-6,Mexico,19.40279109,-103.6206436,https://www.youtube.com/embed/eY-NP4pzKNg,,,,
Beach House Hotel Honduras,-6,Honduras,16.306134,-86.592746,https://www.youtube.com/embed/ht5O1lT897k,,,,Facing west
Hollywood beach,-7,USA (California),26.01128,-80.142967,https://www.youtube.com/embed/cmkAbDUEoyA,,,,
Morro Bay Yacht club,-8,USA (California),35.363002,-120.852725,https://www.youtube.com/embed/jpTWh9bKULw,,,,Facing west
Anacapa Island,-8,USA (California),34.005799,-119.398316,https://www.youtube.com/embed/jF_2BWaGdHg,,,,Facing east
Seaplane Base Anchorage,-9,USA (Alaska),61.180595,-149.969508,https://www.youtube.com/embed/jaSBuCedy7A,,,,Moving camera
Naknek River Camp,-9,USA (Alaska),58.67752,-156.664327,https://www.youtube.com/embed/pHCaRGbvXtE,,,,"Facing east (beautiful sunrise), moving"
Brooks Falls Bear Cam,-9,USA (Alaska),58.554941,-155.791675,https://www.youtube.com/embed/lR0XJsz7_dc,,,,Solar powered - live only when there's enough sun
Maui Sands whalespotting,-10,Hawaii,20.952676,-156.68812,https://www.youtube.com/embed/BYfN7qic1rg,,,,This one comes with a competition - first one to spot a humpback whale wins $300
Subaru Telescope Maunakea Hawaii,-10,Hawaii,19.82555,-155.475983,https://www.youtube.com/embed/eH90mZnmgD4,,,,
Kingston,-4,Jamaica,17.993292,-76.802489,https://www.youtube.com/embed/jA2H4hPRDQ8,,,,
Dublin,0,Ireland,53.3498053,-6.2603097,https://www.youtube.com/embed/ulBLMx5Iokc,,,,
Jerusalem,3,Israel,31.768319,35.21371,https://www.youtube.com/embed/6br0vfU3csI,,,,
Brooklyn Bridge,-4,USA (New York),40.6526006,-73.9497211,https://www.youtube.com/embed/KGuCGd726RA,,,,
Las Vegas,-7,USA (Nevada),36.1699412,-115.1398296,https://www.youtube.com/embed/CUyy8rBnuzY,,,,
Sea Lions,-8,Canada (BC),50.57260325,-126.7459173,https://www.youtube.com/embed/f6KyNadD2zs,,,,
Arkhangelsk,5,Russia,64.543022,40.537121,https://www.youtube.com/embed/biZUJHgwm0M,,,,
Kontiolahti Biathlon,3,Finland,62.766667,29.85,https://www.youtube.com/embed/O4hSj_1bUUM,,,,
Rainbow bridge Tokyo,9,Japan,35.6363217,139.7749074,https://www.youtube.com/embed/rzdEm7mWtFI,,,,
Mühlhausen in Thüringen,1,Germany,51.2094255,10.4589044,https://www.youtube.com/embed/iWHNMDTFCa8,,,,
Berlin Tiergarten,1,Germany,52.5097776,13.3572597,https://www.youtube.com/embed/Qrp9WQegYX4,,,,
Cuxhaven Wattenmeer National Park,1,Germany,53.8714994,8.6918209,https://www.youtube.com/embed/SZp1Q6LX7Wk,,,,
Thach Thang,7,Vietnam,21.0073844,105.4996663,https://www.youtube.com/embed/vX9GPhdOLZw,,,,
Chittorgarh,5.3,India,24.718026,74.47214697,https://www.youtube.com/embed/vXBTz3KIcr4,,,,
Severouralsk,5,Russia,60.15016,59.960517,https://www.youtube.com/embed/0gnBlwbkIy4,,,,
Tatarstan Eagles,3,Russia,55.448217,50.4763591,https://www.youtube.com/embed/E4hzEtA9u4g,,,,
Namib desert,2,Namibia,-24.5,15,https://www.youtube.com/embed/ydYDqZQpim8,,,,
Sanxiantai,8,Taiwan,23.12534045,121.4177772,https://www.youtube.com/embed/jFJ59-9tTyM,,,,
Big Bear Valley,-7,USA (California),34.2610877,-116.8546284,https://www.youtube.com/embed/B4-L2nfGcuE,,,,
Olifants River,2,South Africa,-24.18736745,30.93686204,https://www.youtube.com/embed/Z98BC7ROlyA,,,,
Kamfers Dam,2,South Africa,-28.673071,24.76507125,https://www.youtube.com/embed/POP99dOsTSU,,,,
Хабаровск. Вечный огонь,,Russia,48.4668419,135.0642099,https://www.youtube.com/embed/eXV994YmKo8,,,,
Atlantic Star Nautical Center,,Cape Verde,16.5986926,-22.9050314,https://www.youtube.com/embed/SjoEs-ClwZE,,,,
Lanzarote airport,,Canary Islands,28.94568045,-13.60758816,https://www.youtube.com/embed/doqBgKIBBh8,,,,
Praia de Santo António da Caparica,,Portugal,38.6473591,-9.24354981,https://www.youtube.com/embed/nG-a43uwt74,,,,
En directo desde Portilla de la Reina,,Spain,43.042038,-4.8517811,https://www.youtube.com/embed/xB32bKjvSb4,,,,
Nautico Salinas Este,,Spain,43.575986,-5.9575436,https://www.youtube.com/embed/doNsXrJHErU,,,,
Webcam en directo desde Vitoria _Gasteiz Apartamentos Divan,,Spain,42.8465088,-2.6724025,https://www.youtube.com/embed/jeu_kkXmSVM,,,,
Playa de los locos,,Spain,37.9824391,-0.6614171917,https://www.youtube.com/embed/eoQnJiVUEHA,,,,
Les Sables D'Olonne,,France,46.5002031,-1.792457534,https://www.youtube.com/embed/xjlaExcaEt0,,,,
Cigüeña Madrigal de las Altas Torres,,Spain,41.0895339,-4.9994857,https://www.youtube.com/embed/pgJ0Beojqbs,,,,
Malaga,,Spain,36.7213028,-4.4216366,https://www.youtube.com/embed/NBEiapCrWaw,,,,
"LIVE STREAM FROM GHANDRUK, NEPAL",,Nepal,28.376865,83.807793,https://www.youtube.com/embed/pYHnnofbaeo,,,,
Odessa,,Ukraine,46.482526,30.7233095,https://www.youtube.com/embed/5hHelJALhEo,,,,
Záchranná stanice živočichů Makov,,Slovakia,49.8550043,16.1911279,https://www.youtube.com/embed/GxhSqwbSpbs,,,,
LRWT Rutland Osprey Project,,UK,52.6423036,-0.6632643077,https://www.youtube.com/embed/BpN2akxWtF0,,,,
LVM Klinšu ērglis,,Latvia,56.8406494,24.7537645,https://www.youtube.com/embed/-V71vgenDDo,,,,
Solent View,,UK,50.7299865,-1.1603699,https://www.youtube.com/embed/nENnL58BTls,,,,
Picos de Europa,,Spain,43.1896024,-4.8327478,https://www.youtube.com/embed/Lbei4sIlvlI,,,,
UBIÑAS EN DIRECTO - BABIA,,Spain,42.9467472,-6.0131416,https://www.youtube.com/embed/n80WWtpI5wE,,,,
Laredo,,Spain,43.41063,-3.4173,https://www.youtube.com/embed/CvvpsRJHS3o,,,,
La Basilica de Guadalupe,,Mexico,20.0572901,-98.7380947,https://www.youtube.com/embed/pLwR-XHKmUw,,,,
CBMWC Dolphin Watch,,Wales,52.47481935,-4.475835139,https://www.youtube.com/embed/fqA-xOQrUIY,,,,
Porto Moniz Pools,,Portugal,32.86868205,-17.17019837,https://www.youtube.com/embed/SiGhY_hgvm4,,,,
"Saint John, NB Kingston Peninsula Princess Ferry Live",,Canada,45.5138436,-66.0261656,https://www.youtube.com/embed/ykmhNHI6EiM,,,,
CGH AIRPORT - AEROPORTO DE SÃO PAULO CONGONHAS,,Brazil,-23.62743,-46.65556817,https://www.youtube.com/embed/c-h9KQdRlHQ,,,,
Canal do Porto de Santos - Ao Vivo,,Brazil,-23.9214707,-46.3393894,https://www.youtube.com/embed/B6-2uzUNQos,,,,
Santos Dumont Airport,,Brazil,-22.91044395,-43.16418614,https://www.youtube.com/embed/3cIEnXwYlA0,,,,
Frying Pan Ocean Cam,,USA (North Carolina),35.35026435,-75.82710668,https://www.youtube.com/embed/vGimsBVpuN8,,,,
"Live Ocean View from Nonsuch Island, Bermuda",,Bermuda,32.34708065,-64.66395325,https://www.youtube.com/embed/dt8mXR-tHVg,,,,
"SUNSET BEACH
Sunset Beach Pier ",,USA (North Carolina),33.8671325,-78.5069129,https://www.youtube.com/embed/czYVWMkUBgs,,,,
Aurora Borealis / Northern Lights LIVE!,,Finland,69.1047373,27.1978479,https://www.youtube.com/embed/euIyKIo_0Hw,,,,
Great Bay Osprey Cam,,USA,43.0882005,-70.86674459,https://www.youtube.com/embed/HFitUsruV-g,,,,
Brownville's Food Pantry For Deer,,USA (Maine),45.307251,-69.033966,https://www.youtube.com/embed/opz11wX1cjQ,,,,
Monument Square Tree Cam,,USA (Maine),43.661471,-70.2553259,https://www.youtube.com/embed/HPzBI1Qzd8Y,,,,
"Mt Katahdin, Maine",,USA (Maine),45.9030801,-68.9190258,https://www.youtube.com/embed/rfINUOhVHUQ,,,,
Winterton,,Newfoundland,47.9543064,-53.3291072,https://www.youtube.com/embed/hKMtXhwg7TY,,,,
Transmisión Volcán Popocatépetl,,Mexico,19.021456,-98.6276365,https://www.youtube.com/embed/mb2ZzwShJog,,,,
Fairmont The Palm,,UAE,25.110323,55.1410158,https://www.youtube.com/embed/7dE4IjDQJmE,,,,
"Greenville Rail Depot, Maine",,USA (Maine),45.4608797,-69.6161662,https://www.youtube.com/embed/viJqdC1RE-E,,,,
Türkiye'nin ve Tokat'ın Güzide İlçesi Erbaa,,Turkey,40.70972435,36.61804884,https://www.youtube.com/embed/NzZCDDMgcFY,,,,
Warszawa Live,,Poland,52.2317641,21.00579968,https://www.youtube.com/embed/yd2ySVmF2Uk,,,,
Teleferic Grand Hotel - Poiana Brasov,,Romania,45.58908405,25.55205,https://www.youtube.com/embed/x5_417W6OQA,,,,
Targu Secuiesc Town Square,,Romania,45.9988969,26.1353123,https://www.youtube.com/embed/aiT1g0VE3v4,,,,
"Deer Pantry ""Trough View""
",,,45.293453,-69.035141,https://www.youtube.com/embed/kpzfhagzPVA,,,,
Plane Spotting at Manchester Airport,,,53.35034205,-2.280369253,https://www.youtube.com/embed/jnJTMT5Qe00,,,,
Overlooking Taipei at the top of Xiangshan,,,29.23711755,122.122992,https://www.youtube.com/embed/z_fY1pj1VBw,,,,
Live Las Vegas airport camera with flight tracking and ATC,,,36.0861034,-115.1611199,https://www.youtube.com/embed/kxfdBmfQjpU,,,,
Spring Creek Canmore Live Feed,,,51.0826276,-115.3502046,https://www.youtube.com/embed/5XSLRSJHVXU,,,,
Gatlinburg SkyLift Park Mountaintop View,,,35.714259,-83.5101638,https://www.youtube.com/embed/LQpGUOJtdnY,,,,
Valle Gran Rey - WifiGomera,,,28.1031516,-17.34113573,https://www.youtube.com/embed/puAP_a2n3Mo,,,,
"PHILIPPINES Live Camera, Agdao, Davao City, Leon Garcia Street towards Magsaysay",,,7.080972,125.624778,https://www.youtube.com/embed/vAv46MTzuFs,,,,
The Beach Club Resort & Spa,,,31.06810198,-88.00896791,https://www.youtube.com/embed/l2em7gqBj00,,,,
Live Kohtla-Järve City in Estonia,,,59.40236892,27.28279553,https://www.youtube.com/embed/k66ApjMiGE0,,,,
"Clifton 4th beach webcam Live Stream, Cape Town",,,-33.94046863,18.37514872,https://www.youtube.com/embed/2TVfUq0F95w,,,,
"Live video from Old Town Hall, Old Town Square, Prague",,,50.08759209,14.42076723,https://www.youtube.com/embed/bx6mVOHui7Y,,,,
LIVE Fort Lauderdale Las Olas Intracoastal - New!,,,26.11942898,-80.10802233,https://www.youtube.com/embed/34mdqlFyByQ,,,,
Las Vegas Live HD CAM - Treasure Island View USA,,,36.12487617,-115.1721149,https://www.youtube.com/embed/CUyy8rBnuzY,,,,
Grancanaria.live | Playa del Inglés,,,27.75705728,-15.56709455,https://www.youtube.com/embed/cvYNX6OONW4,,,,
Paris Live HD CAM - EIFFEL Tower France View,,,48.85853243,2.294449111,https://www.youtube.com/embed/iZipA1LL_sU,,,,
"Hotel Matts @ Matinkylä, Espoo - Live Street view",,,60.15982743,24.73649301,https://www.youtube.com/embed/LLFt5TkX0uQ,,,,
"Lyubinsky avenue, Omsk, Russia, Siberia live stream 24/7",,,54.99392538,73.3640038,https://www.youtube.com/embed/BwcNVdE1CAo,,,,
Camera cổng trường Nguyễn Huệ Đà Nẵng,,,16.0117266,108.1865531,https://www.youtube.com/embed/ly_Jud7WHfo,,,,
"Bali - Canggu, Sand Bar cafe",,,-8.658688017,115.1302958,https://www.youtube.com/embed/okPMA6UBpQo,,,,
Bali - Jemeluk Amed,,,-8.332580743,115.6573776,https://www.youtube.com/embed/VCDV20bxKCg,,,,
"Live Cam - Phoenix Resort in San Pedro - Ambergris Caye, Belize",,,17.92323497,-87.95992616,https://www.youtube.com/embed/rdjScbq1ya8,,,,
La Basilica de Guadalupe EN VIVO CDMX,,,19.4850797,-99.11782942,https://www.youtube.com/embed/pLwR-XHKmUw,,,,
СумДУ Панорама,,,50.89191559,34.84319618,https://www.youtube.com/embed/q5LlkT3wyNU,,,,
Karlovy Vary ,,,50.22911541,12.87672847,https://www.youtube.com/embed/F8D20NMVBTg,,,,
"W4Y - Hvide Sande, North",,,56.02804587,8.125029813,https://www.youtube.com/embed/uKw3ey7VNN8,,,,
Livestream Kieler Hafen,,,54.32386183,10.13926139,https://www.youtube.com/embed/FrkqJo0s1oA,,,,
Passhöhe,,,47.43341141,14.48161318,https://www.youtube.com/embed/YTqh_sQvk-s,,,,
"Hvar, Croatia ☀ LIVE 24/7 WebCam
",,,43.16863246,16.66064028,https://www.youtube.com/embed/LqH5NhqxNlY,,,,
"Rogoznica, Croatia - Live panorama view",,,43.53803514,15.96247629,https://www.youtube.com/embed/iSbn8x3IUhs,,,,
